p x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43 x44 x45 x46 x47 x48 x50 x51 x52 x53 x54 x55 x56 x57 x58 x59 x60 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51
1990 488797.9 45782.2 39337.2 6221652 61668559 122.79 0 0 1 2469031 0.19 1218.8 747 204 173115 2 4059.6 3176.3 2985.52 1518.14 112127 310.3 105.96 38.08 213.9 200.7 72.4 18.8 1389.3 2 26702 8172 2571 2318 2143.7 6573 865.3 2760.5 16051.7 4119 860.9 1496.4 0.13 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1 2467384 0.41 1107.7 747 204 173115 575 4059.6 3176.3 2909.61 1440.04 112127 310.3 83.84 38.08 188.14 189.47 80.14 18.55 1267.6 575 26702 8172 2571 2318 1952.6 5260.8 865.3 1793.9 14030.5 4119 886.7 1239.8 0.13 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1
1991 488797.9 45782.2 39337.2 6221652 61668559 122.79 0 0 1 2467384 0.41 1107.7 747 204 173115 575 4059.6 3176.3 2909.61 1440.04 112127 310.3 83.84 38.08 188.14 189.47 80.14 18.55 1267.6 575 26702 8172 2571 2318 1952.6 5260.8 865.3 1793.9 14030.5 4119 886.7 1239.8 0.13 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1 2478686 30694 1107.7 747 204 173115 2298 4059.6 3176.3 2948.81 1502.71 112127 310.3 90.92 38.08 226.45 180.44 88.06 18.98 1244.3 2298 26702 8172 2571 2318 2104.1 9802.3 865.3 1804.9 14758.9 4119 844.9 1126.8 0.13 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1
1992 488797.9 45782.2 39337.2 6221652 61668559 122.79 0 0 1 2478686 30694 1107.7 747 204 173115 2298 4059.6 3176.3 2948.81 1502.71 112127 310.3 90.92 38.08 226.45 180.44 88.06 18.98 1244.3 2298 26702 8172 2571 2318 2104.1 9802.3 865.3 1804.9 14758.9 4119 844.9 1126.8 0.13 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1 2488228 361008 1107.7 747 204 173115 3064 4059.6 3176.3 2865.42 1455.76 112127 310.3 73.78 38.08 231.69 166.93 93.02 19.16 1188.9 3064 26702 8172 2571 2318 2239.5 9238.6 865.3 1642.7 15412.5 4119 824.6 1137.1 251 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1
1993 488797.9 45782.2 39337.2 6221652 61668559 122.79 0 0 1 2488228 361008 1107.7 747 204 173115 3064 4059.6 3176.3 2865.42 1455.76 112127 310.3 73.78 38.08 231.69 166.93 93.02 19.16 1188.9 3064 26702 8172 2571 2318 2239.5 9238.6 865.3 1642.7 15412.5 4119 824.6 1137.1 251 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1 2494979 1539072 1107.7 747 204 173115 3147 4059.6 3176.3 2758.08 1354.59 112127 310.3 39.76 38.08 247.3 147.85 92.83 19.49 1069.4 3147 26702 8172 2571 2318 1515.6 6415.4 865.3 828.4 3071.8 4119 741.7 1025 251 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1
1994 488797.9 45782.2 39337.2 6221652 61668559 122.79 0 0 1 2494979 1539072 1107.7 747 204 173115 3147 4059.6 3176.3 2758.08 1354.59 112127 310.3 39.76 38.08 247.3 147.85 92.83 19.49 1069.4 3147 26702 8172 2571 2318 1515.6 6415.4 865.3 828.4 3071.8 4119 741.7 1025 251 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1 2490675 345 1107.7 747 204 173115 3377 4059.6 3176.3 2725.3 1366.73 112127 310.3 61.45 38.08 279.1 151.7 98.7 21.3 996.5 3377 26702 8172 2571 2318 1921 4512.1 865.3 859.1 4733.8 4119 693 984.2 251 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1
1995 488797.9 45782.2 39337.2 6221652 61668559 122.79 0 0 1 2490675 345 1107.7 747 204 173115 3377 4059.6 3176.3 2725.3 1366.73 112127 310.3 61.45 38.08 279.1 151.7 98.7 21.3 996.5 3377 26702 8172 2571 2318 1921 4512.1 865.3 859.1 4733.8 4119 693 984.2 251 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1 2484790 468 1042.3 747 204 154749 3326 4012.3 3176.3 2714.32 1361.82 112127 538.06 92.65 38.08 279.53 153.79 102.46 19.57 856.1 3326 26702 8172 2571 2318 1725.7 4174 865.3 1597 10615.8 5731 678.1 863.3 251 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1
1996 404331.3 23574.7 38940.3 190991 50753 122.79 0 0 1 2484790 468 1042.3 747 204 154749 3326 4012.3 3176.3 2714.32 1361.82 112127 538.06 92.65 38.08 279.53 153.79 102.46 19.57 856.1 3326 26702 8172 2571 2318 1725.7 4174 865.3 1597 10615.8 5731 678.1 863.3 251 766.2 302.4 1600.5 108 117.1 13.08 88.3 165.4 1.1 360.2 4000.1 151.9 71.3 12503.6 9142.3 15212.1 2470308 676.2 988.6 747 204 154749 3267 4012.3 3176.3 2691.11 1392.27 112127 554.95 77.29 38.08 290.63 150.77 102.6 20.31 757.8 3267 25819 7914 2648 2279 1782.66 7426.29 865.3 1654.8 13635.12 6903 651 770.4 251 1008.6 331.1 2728 108 75.8 13.08 67.6 152.8 0.5 403.2 3912.4 151.9 71.3 12503.6 9142.3 15212.1
1997 269.6 3.8 4.3 20447 39065 122.79 0 0 1 2470308 676.2 988.6 747 204 154749 3267 4012.3 3176.3 2691.11 1392.27 112127 554.95 77.29 38.08 290.63 150.77 102.6 20.31 757.8 3267 25819 7914 2648 2279 1782.66 7426.29 865.3 1654.8 13635.12 6903 651 770.4 251 1008.6 331.1 2728 108 75.8 13.08 67.6 152.8 0.5 403.2 3912.4 151.9 71.3 12503.6 9142.3 15212.1 2458558 787.1 988.6 747 204 142011 3130 4012.3 3176.3 2485.08 1263.05 80.52 477.97 77.29 21.73 313.32 121.77 105.28 20.15 687.8 3130 24115 7292 2341 2138 1896.13 6680.6 865.3 1014.2 8014.36 6784 608.3 784.7 1162 635.2 214.3 1955.9 108 52.2 13.08 58.8 143.6 0.1 336.4 4552.2 151.9 71.3 12503.6 9142.3 15212.1
1998 723.8 6.1 1.5 17805 68358 122.79 0 0 1 2458558 787.1 988.6 747 204 142011 3130 4012.3 3176.3 2485.08 1263.05 80.52 477.97 77.29 21.73 313.32 121.77 105.28 20.15 687.8 3130 24115 7292 2341 2138 1896.13 6680.6 865.3 1014.2 8014.36 6784 608.3 784.7 1162 635.2 214.3 1955.9 108 52.2 13.08 58.8 143.6 0.1 336.4 4552.2 151.9 71.3 12503.6 9142.3 15212.1 2441337 1186 1105.1 747 204 135732 3317 4012.3 3055.5 2360.01 1093.13 55.34 344.57 70.9 32.79 360.22 131.57 105.06 22.11 673.4 3317 23399 7037 1985 1817 1953.54 5683 865.3 1394.7 6491.37 14783 598.4 786.2 1162 626.7 177 2059.2 108 72.4 13.08 57.8 131.7 0.2 407.2 2871.6 151.9 71.3 12503.6 9142.3 15212.1
1999 723.8 6.1 1.5 27704 197952 122.79 0 0 1 2441337 1186 1105.1 747 204 135732 3317 4012.3 3055.5 2360.01 1093.13 55.34 344.57 70.9 32.79 360.22 131.57 105.06 22.11 673.4 3317 23399 7037 1985 1817 1953.54 5683 865.3 1394.7 6491.37 14783 598.4 786.2 1162 626.7 177 2059.2 108 72.4 13.08 57.8 131.7 0.2 407.2 2871.6 151.9 71.3 12503.6 9142.3 15212.1 2422371 1486.5 1090.9 747 204 127592 3686 4011.9 3054.9 2319.07 1110.6 41.93 369.26 87.14 47.33 347.1 127.3 104.6 21.4 638.8 3686 22654 5919 1908 1851 2174.9 11465.1 865.3 1394.7 7072.5 18247 629.1 758.8 1162 679 202.3 2112 108 69.3 13.08 67 139 0.1 586.7 3271.2 151.9 71.3 12503.6 9142.3 15212.1
